"Year","nepal_loss","bhutan_loss","india_loss","burma_loss","percent_loss_nepal","percent_loss_india","percent_loss_bhutan","percent_loss_burma","percent_cumulative_nepal","percent_cumulative_india","percent_cumulative_bhutan","percent_cumulative_burma","entire_range","percent_cumulative_total"
"1",2001,2.559335104,0.8353046843,16.85720014,5.035765532,0.0183672649348152,0.0573148014388881,0.00754789069851709,0.0264793294759841,0.0183672649348152,0.0573148014388881,0.00754789069851709,0.0264793294759841,0.0344375751678058,0.0344375751678058
"2",2002,2.667599036,0.9577895593,13.29837125,7.550812792,0.0191442293576533,0.0452147154524065,0.00865467540366486,0.0397040844058986,0.0375114942924685,0.102529516891295,0.0162025661021819,0.0661834138818827,0.0333303576813612,0.067767932849167
"3",2003,5.926754595,1.404081816,13.00672213,5.442634487,0.042533809535087,0.0442231028913762,0.0126874136804639,0.0286187494002305,0.0800453038275555,0.146752619782671,0.0288899797826458,0.0948021632821132,0.0351083987226903,0.102876331571857
"4",2004,4.490490745,3.984356069,22.33217587,16.01660513,0.0322263517082406,0.0759298231650097,0.0360030114496333,0.0842193628017402,0.112271655535796,0.222682442947681,0.0648929912322791,0.179021526083853,0.0637661088554035,0.166642440427261
"5",2005,5.821683786,3.71078244,18.40466614,8.098995089,0.0417797608046952,0.0625762153028057,0.0335309747323735,0.0425865656419541,0.154051416340491,0.285258658250486,0.0984239659646526,0.221608091725808,0.0490753009388921,0.215717741366153
"6",2006,5.739870572,3.359286256,20.22432114,12.99401878,0.0411926219910408,0.0687630769492309,0.0303548225717985,0.0683258389030064,0.195244038331532,0.354021735199717,0.128778788536451,0.289933930628814,0.0576294966900096,0.273347238056162
"7",2007,6.875078657,1.977622369,29.54191728,14.69998513,0.0493395299988087,0.100443081233255,0.0178699793796361,0.0772962416688896,0.244583568330341,0.454464816432972,0.146648767916087,0.367230172297703,0.0723061501296611,0.345653388185824
"8",2008,3.364418914,2.34894297,26.67453272,11.68060962,0.0241450107289823,0.0906939191339471,0.0212252668132321,0.0614196011793841,0.268728579059323,0.545158735566919,0.167874034729319,0.428649773477088,0.0600140819631707,0.405667470148994
"9",2009,12.525476,4.303208189,17.00848408,24.1071898,0.0898900404902463,0.0578291697153504,0.0388841888163893,0.126761704332322,0.358618619549569,0.60298790528227,0.206758223545709,0.55541147780941,0.0789107212892971,0.484578191438291
"10",2010,3.56764509,20.48741514,20.92708779,16.44055283,0.0256034789891361,0.0711524969399829,0.185126185783877,0.0864485870890011,0.384222098538705,0.674140402222252,0.391884409329585,0.641860064898411,0.0836476542174915,0.568225845655783
"11",2011,2.237395965,2.978873587,15.52936119,18.4873353,0.0160568439783497,0.0528001237266929,0.026917378367413,0.0972110872579225,0.400278942517055,0.726940525948945,0.418801787696998,0.739071152156333,0.0534288712803778,0.621654716936161
"12",2012,9.387846205,1.53122877,16.92811712,26.90063435,0.0673725992915283,0.0575559205211549,0.013836325364403,0.141450342661947,0.467651541808583,0.7844964464701,0.432638113061401,0.880521494818281,0.0745575689811204,0.696212285917281
"13",2013,1.115411371,1.09462829,18.66403816,29.81116613,0.00800483536932817,0.0634580851092766,0.00989116288189917,0.156754655276029,0.475656377177912,0.847954531579377,0.4425292759433,1.03727615009431,0.0690249972936911,0.765237283210972
"14",2014,1.489671842,2.606706952,26.1458632,21.68378103,0.0106907443832522,0.0888964327000231,0.0235544460920254,0.114018807772098,0.486347121561164,0.9368509642794,0.466083722035326,1.15129495786641,0.0707147350848062,0.835952018295778
"15",2015,3.752692236,2.059110023,27.22413093,21.93754604,0.0269314840443168,0.0925625635123557,0.0186063093885908,0.11535316841033,0.513278605605481,1.02941352779176,0.484690031423917,1.26664812627674,0.0748648710988723,0.910816889394651
"16",2016,5.630841002,7.222615429,34.28782186,26.6295307,0.0404101629082934,0.116579247167784,0.0652642237499243,0.140024811067024,0.553688768513774,1.14599277495954,0.549954255173841,1.40667293734376,0.100463754221641,1.01128064361629
"17",2017,10.70599577,8.469527001,52.08685438,23.26260542,0.0768324008807095,0.177096296631261,0.0765314325098742,0.122320665938819,0.630521169394484,1.3230890715908,0.626485687683715,1.52899360328258,0.128727537988317,1.14000818160461
"18",2018,4.517010614,3.127026544,33.72982733,12.26570447,0.0324166735848867,0.114682055141509,0.028256102245198,0.0644961779598956,0.66293784297937,1.43777112673231,0.654741789928913,1.59348978124248,0.0730483038759777,1.21305648548059
