"Year","nepal_loss","bhutan_loss","india_loss","burma_loss","china_fulgens_loss","china_styani_loss","percent_loss_nepal","percent_loss_india","percent_loss_bhutan","percent_loss_burma","percent_loss_china_fulgens","percent_loss_china_styani","percent_cumulative_nepal","percent_cumulative_india","percent_cumulative_bhutan","percent_cumulative_burma","percent_cumulative_china_fulgens","percent_cumulative_china_styani","percent_gain","total_area_of_habitat","entire_range","percent_cumulative_total"
"1",2001,2.559335104,0.8353046843,16.85720014,5.035765532,20.08413432,5.898417729,0.0183672649348152,0.0573148014388881,0.00754789069851709,0.0264793294759841,0.0540071752371067,0.0243107184746974,0.0183672649348152,0.0573148014388881,0.00754789069851709,0.0264793294759841,0.0540071752371067,0.0243107184746974,0.169663071751616,134880.795,0.03801145856925,0.03801145856925
"2",2002,2.667599036,0.9577895593,13.29837125,7.550812792,22.46674665,9.725619035,0.0191442293576533,0.0452147154524065,0.00865467540366486,0.0397040844058986,0.0604141310748926,0.0400847815829633,0.0375114942924685,0.102529516891295,0.0162025661021819,0.0661834138818827,0.114421306311999,0.0643955000576607,0.169663071751616,134880.795,0.0420126070003517,0.0800240655696017
"3",2003,5.926754595,1.404081816,13.00672213,5.442634487,20.27366286,3.440161424,0.042533809535087,0.0442231028913762,0.0126874136804639,0.0286187494002305,0.0545168263332966,0.0141788526565678,0.0800453038275555,0.146752619782671,0.0288899797826458,0.0948021632821132,0.168938132645296,0.0785743527142285,0.169663071751616,134880.795,0.0366946364098758,0.116718701979478
"4",2004,4.490490745,3.984356069,22.33217587,16.01660513,30.73080507,4.203390676,0.0322263517082406,0.0759298231650097,0.0360030114496333,0.0842193628017402,0.0826365701478169,0.0173245524576857,0.112271655535796,0.222682442947681,0.0648929912322791,0.179021526083853,0.251574702793113,0.0958989051719142,0.169663071751616,134880.795,0.0606148737186788,0.177333575698156
"5",2005,5.821683786,3.71078244,18.40466614,8.098995089,25.86094583,16.08396715,0.0417797608046952,0.0625762153028057,0.0335309747323735,0.0425865656419541,0.0695412911995568,0.0662911335386588,0.154051416340491,0.285258658250486,0.0984239659646526,0.221608091725808,0.32111599399267,0.162190038710573,0.169663071751616,134880.795,0.0578147841099246,0.235148359808081
"6",2006,5.739870572,3.359286256,20.22432114,12.99401878,56.55531042,12.88292094,0.0411926219910408,0.0687630769492309,0.0303548225717985,0.0683258389030064,0.152079871194663,0.0530978100388326,0.195244038331532,0.354021735199717,0.128778788536451,0.289933930628814,0.473195865187332,0.215287848749406,0.169663071751616,134880.795,0.0828551819463994,0.31800354175448
"7",2007,6.875078657,1.977622369,29.54191728,14.69998513,44.24541258,14.65404204,0.0493395299988087,0.100443081233255,0.0178699793796361,0.0772962416688896,0.118977980956171,0.060397602699329,0.244583568330341,0.454464816432972,0.146648767916087,0.367230172297703,0.592173846143504,0.275685451448735,0.169663071751616,134880.795,0.0830318786718302,0.401035420426311
"8",2008,3.364418914,2.34894297,26.67453272,11.68060962,30.4369143,131.4677872,0.0241450107289823,0.0906939191339471,0.0212252668132321,0.0614196011793841,0.0818462841408092,0.541853173164879,0.268728579059323,0.545158735566919,0.167874034729319,0.428649773477088,0.674020130284313,0.817538624613613,0.169663071751616,134880.795,0.152707585778984,0.553743006205294
"9",2009,12.525476,4.303208189,17.00848408,24.1071898,45.57692703,39.54747806,0.0898900404902463,0.0578291697153504,0.0388841888163893,0.126761704332322,0.122558485502005,0.162997544370926,0.358618619549569,0.60298790528227,0.206758223545709,0.55541147780941,0.796578615786318,0.980536168984539,0.169663071751616,134880.795,0.106070521870071,0.659813528075365
"10",2010,3.56764509,20.48741514,20.92708779,16.44055283,28.64421245,17.61399922,0.0256034789891361,0.0711524969399829,0.185126185783877,0.0864485870890011,0.077025625136133,0.0725972618293274,0.384222098538705,0.674140402222252,0.391884409329585,0.641860064898411,0.873604240922451,1.05313343081387,0.169663071751616,134880.795,0.0798341324426506,0.739647660518015
