loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class,iucn,,,loss_mean,elevation,longitude,Country,iucn,over_20_pc_canopy_cover,Habitat_class
0.001013171,2341,89.35000139,Bhutan,,1,Moderate,,,,0.001013171,2341,89.35000139,Bhutan,,1,Moderate
,2864,100.2855527,China_fulgens,,0,Low,,,,,2864,100.2855527,China_fulgens,,0,Low
0,2707,102.9858884,china_styani,,1,Moderate,,,,0,2707,102.9858884,china_styani,,1,Moderate
,2630,82.08685282,Nepal,,0,Low,,,,,2630,82.08685282,Nepal,,0,Low
0.422374429,3140,103.8943547,china_styani,,1,Moderate,,,,0.422374429,3140,103.8943547,china_styani,,1,Moderate
0,1890,86.92239417,Nepal,,1,Core,,,,0,1890,86.92239417,Nepal,,1,Core
0.002061856,2392,98.79255267,China_fulgens,,1,Low,,,,0.002061856,2392,98.79255267,China_fulgens,,1,Low
0,2098,98.55512794,Burma,,1,Moderate,,,,0,2098,98.55512794,Burma,,1,Moderate
0.029447853,2693,99.05638787,China_fulgens,,1,Low,,,,0.029447853,2693,99.05638787,China_fulgens,,1,Low
0,2132,104.0945891,china_styani,,1,Low,,,,0,2132,104.0945891,china_styani,,1,Low
0,2938,96.9246857,China_fulgens,,1,Low,,,,0,2938,96.9246857,China_fulgens,,1,Low
0,2601,95.27996024,China_fulgens,,1,Low,,,,0,2601,95.27996024,China_fulgens,,1,Low
0.079569892,3114,103.9148362,china_styani,,1,Low,,,,0.079569892,3114,103.9148362,china_styani,,1,Low
0.002762431,3810,98.85184148,China_fulgens,,1,Low,,,,0.002762431,3810,98.85184148,China_fulgens,,1,Low
0,3979,97.51919075,Burma,IUCN II,1,Moderate,,,,0,3979,97.51919075,Burma,IUCN II,1,Moderate
9.19E-04,2402,102.855992,china_styani,,1,Moderate,,,,0.000919118,2402,102.855992,china_styani,,1,Moderate
,4289,94.77331042,China_fulgens,,0,Low,,,,,4289,94.77331042,China_fulgens,,0,Low
,4433,90.82144183,Bhutan,IUCN II,0,Moderate,,,,,4433,90.82144183,Bhutan,IUCN II,0,Moderate
,2947,82.47708098,Nepal,,0,Low,,,,,2947,82.47708098,Nepal,,0,Low
0.002729754,3071,102.9185148,china_styani,,1,Moderate,,,,0.002729754,3071,102.9185148,china_styani,,1,Moderate
0.003412969,2323,99.52288299,China_fulgens,,1,Low,,,,0.003412969,2323,99.52288299,China_fulgens,,1,Low
0,3161,99.41508516,China_fulgens,,1,Moderate,,,,0,3161,99.41508516,China_fulgens,,1,Moderate
9.09E-04,3078,103.0414043,china_styani,,1,Moderate,,,,0.000909091,3078,103.0414043,china_styani,,1,Moderate
,1769,86.75018713,Nepal,,0,Moderate,,,,,1769,86.75018713,Nepal,,0,Moderate
,4174,94.88272523,China_fulgens,,0,Low,,,,,4174,94.88272523,China_fulgens,,0,Low
0,2071,94.90967468,India,,1,Low,,,,0,2071,94.90967468,India,,1,Low
,2641,103.8849224,china_styani,,0,Low,,,,,2641,103.8849224,china_styani,,0,Low
,3468,82.68378333,Nepal,,0,Low,,,,,3468,82.68378333,Nepal,,0,Low
,4223,96.03616205,China_fulgens,,0,Low,,,,,4223,96.03616205,China_fulgens,,0,Low
,2846,99.44122614,China_fulgens,,0,Moderate,,,,,2846,99.44122614,China_fulgens,,0,Moderate
0.203615604,3144,94.76495609,China_fulgens,,1,Low,,,,0.203615604,3144,94.76495609,China_fulgens,,1,Low
0.069277108,3196,99.47572144,China_fulgens,,1,Low,,,,0.069277108,3196,99.47572144,China_fulgens,,1,Low
0.002583979,3397,82.20866438,Nepal,,1,Low,,,,0.002583979,3397,82.20866438,Nepal,,1,Low
0,2771,98.64433065,Burma,IUCN II,1,Moderate,,,,0,2771,98.64433065,Burma,IUCN II,1,Moderate
0,3547,94.37715338,China_fulgens,,1,Low,,,,0,3547,94.37715338,China_fulgens,,1,Low
,4153,82.91662665,Nepal,IUCN II,0,Low,,,,,4153,82.91662665,Nepal,IUCN II,0,Low
,2361,102.5258612,china_styani,,0,Low,,,,,2361,102.5258612,china_styani,,0,Low
,4284,94.06400068,China_fulgens,,0,Low,,,,,4284,94.06400068,China_fulgens,,0,Low
0.003937008,1251,103.1362664,china_styani,,1,Moderate,,,,0.003937008,1251,103.1362664,china_styani,,1,Moderate
0,2242,97.13920339,India,,1,Low,,,,0,2242,97.13920339,India,,1,Low
0,2931,102.6465947,china_styani,,1,Moderate,,,,0,2931,102.6465947,china_styani,,1,Moderate
0.015659955,3697,93.5204301,China_fulgens,,1,Low,,,,0.015659955,3697,93.5204301,China_fulgens,,1,Low
0.009017133,1176,97.3378209,Burma,,1,Low,,,,0.009017133,1176,97.3378209,Burma,,1,Low
0,3841,102.3552711,china_styani,,1,Moderate,,,,0,3841,102.3552711,china_styani,,1,Moderate
,3942,98.11558227,China_fulgens,,0,Low,,,,,3942,98.11558227,China_fulgens,,0,Low
0,1911,98.16759473,Burma,,1,Moderate,,,,0,1911,98.16759473,Burma,,1,Moderate
0,2042,97.07560267,Burma,IUCN IV,1,Low,,,,0,2042,97.07560267,Burma,IUCN IV,1,Low
0,2310,81.77989849,Nepal,,1,Moderate,,,,0,2310,81.77989849,Nepal,,1,Moderate
,3956,97.81725176,Burma,IUCN II,0,Low,,,,,3956,97.81725176,Burma,IUCN II,0,Low
9.15E-04,2282,98.2134088,Burma,,1,Core,,,,0.000914913,2282,98.2134088,Burma,,1,Core
0,3348,82.48759127,Nepal,,1,Low,,,,0,3348,82.48759127,Nepal,,1,Low
,2911,99.07067108,China_fulgens,,0,Low,,,,,2911,99.07067108,China_fulgens,,0,Low
0,1488,104.151183,china_styani,,1,Low,,,,0,1488,104.151183,china_styani,,1,Low
,4596,93.98153533,China_fulgens,,0,Low,,,,,4596,93.98153533,China_fulgens,,0,Low
0.006375228,2158,96.93816043,India,,1,Low,,,,0.006375228,2158,96.93816043,India,,1,Low
,4419,98.54839057,China_fulgens,,0,Low,,,,,4419,98.54839057,China_fulgens,,0,Low
0,3820,93.93194833,China_fulgens,,1,Low,,,,0,3820,93.93194833,China_fulgens,,1,Low
,2698,81.38859235,Nepal,,0,Moderate,,,,,2698,81.38859235,Nepal,,0,Moderate
,4226,95.71708046,China_fulgens,,0,Low,,,,,4226,95.71708046,China_fulgens,,0,Low
,4527,96.83844743,China_fulgens,,0,Low,,,,,4527,96.83844743,China_fulgens,,0,Low
,2672,98.61630321,China_fulgens,,0,Low,,,,,2672,98.61630321,China_fulgens,,0,Low
0,2259,92.48691836,India,,1,Low,,,,0,2259,92.48691836,India,,1,Low
,3311,82.72609398,Nepal,,0,Low,,,,,3311,82.72609398,Nepal,,0,Low
0.00244798,3373,98.62977794,Burma,,1,Moderate,,,,0.00244798,3373,98.62977794,Burma,,1,Moderate
0,3476,101.3735023,China_fulgens,,1,Low,,,,0,3476,101.3735023,China_fulgens,,1,Low
9.22E-04,2404,103.3335364,china_styani,,1,Core,,,,0.000921659,2404,103.3335364,china_styani,,1,Core
,4278,98.29075375,China_fulgens,,0,Moderate,,,,,4278,98.29075375,China_fulgens,,0,Moderate
0.003257329,3046,102.70777,china_styani,,1,Low,,,,0.003257329,3046,102.70777,china_styani,,1,Low
0,2696,98.73865375,China_fulgens,,1,Low,,,,0,2696,98.73865375,China_fulgens,,1,Low
0,2803,98.67181909,China_fulgens,,1,Moderate,,,,0,2803,98.67181909,China_fulgens,,1,Moderate
0,3076,97.17585465,China_fulgens,,1,Low,,,,0,3076,97.17585465,China_fulgens,,1,Low
,3142,89.25567829,Bhutan,,0,Low,,,,,3142,89.25567829,Bhutan,,0,Low
0.111506524,2495,94.91614255,China_fulgens,,1,Moderate,,,,0.111506524,2495,94.91614255,China_fulgens,,1,Moderate
0.005925926,1303,91.3752532,India,,1,Moderate,,,,0.005925926,1303,91.3752532,India,,1,Moderate
,2963,82.70453441,Nepal,,0,Low,,,,,2963,82.70453441,Nepal,,0,Low
,2420,99.74818047,China_fulgens,,0,Low,,,,,2420,99.74818047,China_fulgens,,0,Low
,3533,98.12797902,Burma,IUCN II,0,Moderate,,,,,3533,98.12797902,Burma,IUCN II,0,Moderate
,2711,98.81033931,China_fulgens,,0,Moderate,,,,,2711,98.81033931,China_fulgens,,0,Moderate
0.010401189,3402,88.08283785,India,,1,Moderate,,,,0.010401189,3402,88.08283785,India,,1,Moderate
0,1936,98.18026097,Burma,,1,Moderate,,,,0,1936,98.18026097,Burma,,1,Moderate
0,3196,96.04775032,China_fulgens,,1,Low,,,,0,3196,96.04775032,China_fulgens,,1,Low
,3848,87.25225554,Nepal,IUCN II,0,Moderate,,,,,3848,87.25225554,Nepal,IUCN II,0,Moderate
0.003849856,2925,102.3967733,china_styani,,1,Moderate,,,,0.003849856,2925,102.3967733,china_styani,,1,Moderate
,4446,102.482203,china_styani,,0,Moderate,,,,,4446,102.482203,china_styani,,0,Moderate
,4221,102.957322,china_styani,,0,Moderate,,,,,4221,102.957322,china_styani,,0,Moderate
0.101092896,1020,91.0914754,India,,1,Moderate,,,,0.101092896,1020,91.0914754,India,,1,Moderate
,1707,82.71073279,Nepal,,0,Low,,,,,1707,82.71073279,Nepal,,0,Low
0.009803922,2555,102.0254097,china_styani,,1,Low,,,,0.009803922,2555,102.0254097,china_styani,,1,Low
,2917,82.49729308,Nepal,,0,Low,,,,,2917,82.49729308,Nepal,,0,Low
0.004395604,3653,88.01600319,Nepal,,1,Moderate,,,,0.004395604,3653,88.01600319,Nepal,,1,Moderate
,2583,93.44335465,India,,0,Low,,,,,2583,93.44335465,India,,0,Low
,4869,82.95085246,Nepal,IUCN II,0,Low,,,,,4869,82.95085246,Nepal,IUCN II,0,Low
0,2755,103.3378483,china_styani,,1,Low,,,,0,2755,103.3378483,china_styani,,1,Low
,3586,81.70363152,Nepal,,0,Moderate,,,,,3586,81.70363152,Nepal,,0,Moderate
0,2419,95.96151205,India,,1,Low,,,,0,2419,95.96151205,India,,1,Low
0.005319149,1386,96.11027306,India,,1,Low,,,,0.005319149,1386,96.11027306,India,,1,Low
,2843,99.61531964,China_fulgens,,0,Low,,,,,2843,99.61531964,China_fulgens,,0,Low
,2399,85.26715842,Nepal,,0,Moderate,,,,,2399,85.26715842,Nepal,,0,Moderate
0,2032,92.56102937,India,,1,Moderate,,,,0,2032,92.56102937,India,,1,Moderate
,3840,94.19497504,China_fulgens,,0,Moderate,,,,,3840,94.19497504,China_fulgens,,0,Moderate
9.02E-04,2072,103.701666,china_styani,,1,Low,,,,0.000901713,2072,103.701666,china_styani,,1,Low
,4176,98.93942722,China_fulgens,,0,Low,,,,,4176,98.93942722,China_fulgens,,0,Low
,3603,94.70836223,India,,0,Low,,,,,3603,94.70836223,India,,0,Low
0,2857,94.58601169,China_fulgens,,1,Core,,,,0,2857,94.58601169,China_fulgens,,1,Core
0.006564551,1324,90.50855861,Bhutan,IUCN II,1,Low,,,,0.006564551,1324,90.50855861,Bhutan,IUCN II,1,Low
0,3154,81.92731203,Nepal,,1,Moderate,,,,0,3154,81.92731203,Nepal,,1,Moderate
0,3130,81.84538568,Nepal,,1,Moderate,,,,0,3130,81.84538568,Nepal,,1,Moderate
0,2379,94.78732414,China_fulgens,,1,Moderate,,,,0,2379,94.78732414,China_fulgens,,1,Moderate
0,2540,102.1062581,china_styani,,1,Moderate,,,,0,2540,102.1062581,china_styani,,1,Moderate
9.13E-04,2624,98.75670989,,,1,Low,,,,0.000913242,2624,98.75670989,,,1,Low
0.013819095,3449,90.04987883,Bhutan,IUCN II,1,Low,,,,0.013819095,3449,90.04987883,Bhutan,IUCN II,1,Low
0.001876173,3259,100.1071473,China_fulgens,,1,Low,,,,0.001876173,3259,100.1071473,China_fulgens,,1,Low
0,3717,95.29262649,India,,1,Low,,,,0,3717,95.29262649,India,,1,Low
,1923,89.92968424,Bhutan,,0,Low,,,,,1923,89.92968424,Bhutan,,0,Low
0,1790,98.14118426,Burma,,1,Moderate,,,,0,1790,98.14118426,Burma,,1,Moderate
,4761,86.3831355,China_fulgens,,0,Moderate,,,,,4761,86.3831355,China_fulgens,,0,Moderate
0,1945,98.22149364,Burma,,1,Moderate,,,,0,1945,98.22149364,Burma,,1,Moderate
0.004642526,1239,103.405222,china_styani,,1,Moderate,,,,0.004642526,1239,103.405222,china_styani,,1,Moderate
,4200,97.2779931,China_fulgens,,0,Low,,,,,4200,97.2779931,China_fulgens,,0,Low
,3341,95.28858407,China_fulgens,,0,Low,,,,,3341,95.28858407,China_fulgens,,0,Low
9.02E-04,857,96.49079942,Burma,IUCN IV,1,Low,,,,0.000901713,857,96.49079942,Burma,IUCN IV,1,Low
0.094250707,2661,98.37133263,Burma,,1,Low,,,,0.094250707,2661,98.37133263,Burma,,1,Low
0,2660,95.42575682,India,,1,Low,,,,0,2660,95.42575682,India,,1,Low
0.046540881,2098,98.56590772,Burma,,1,Moderate,,,,0.046540881,2098,98.56590772,Burma,,1,Moderate
0.042675894,3565,101.9159949,china_styani,,1,Low,,,,0.042675894,3565,101.9159949,china_styani,,1,Low
,4167,86.05327413,Nepal,IUCN VI,0,Moderate,,,,,4167,86.05327413,Nepal,IUCN VI,0,Moderate
,3322,101.0986178,China_fulgens,,0,Low,,,,,3322,101.0986178,China_fulgens,,0,Low
0.003338898,2503,102.4110565,china_styani,,1,Moderate,,,,0.003338898,2503,102.4110565,china_styani,,1,Moderate
,4060,88.77813388,India,,0,Moderate,,,,,4060,88.77813388,India,,0,Moderate
0.029090909,2687,102.5625124,china_styani,,1,Low,,,,0.029090909,2687,102.5625124,china_styani,,1,Low
0,3988,94.69569598,China_fulgens,,1,Low,,,,0,3988,94.69569598,China_fulgens,,1,Low
0,2307,97.9897283,Burma,,1,Core,,,,0,2307,97.9897283,Burma,,1,Core
0,2195,89.91378406,Bhutan,IUCN VI,1,Low,,,,0,2195,89.91378406,Bhutan,IUCN VI,1,Low
0,3032,82.08577485,Nepal,,1,Moderate,,,,0,3032,82.08577485,Nepal,,1,Moderate
0,3177,90.87776619,Bhutan,IUCN II,1,Moderate,,,,0,3177,90.87776619,Bhutan,IUCN II,1,Moderate
,2660,100.6574552,China_fulgens,,0,Low,,,,,2660,100.6574552,China_fulgens,,0,Low
0.006856024,2691,95.0732579,China_fulgens,,1,Low,,,,0.006856024,2691,95.0732579,China_fulgens,,1,Low
0,3170,101.2953489,China_fulgens,,1,Low,,,,0,3170,101.2953489,China_fulgens,,1,Low
9.16E-04,1662,89.14437702,Bhutan,,1,Low,,,,0.000915751,1662,89.14437702,Bhutan,,1,Low
,4248,103.2254691,china_styani,,0,Low,,,,,4248,103.2254691,china_styani,,0,Low
,4286,92.94505916,India,,0,Low,,,,,4286,92.94505916,India,,0,Low
,2082,98.65807487,China_fulgens,,0,Low,,,,,2082,98.65807487,China_fulgens,,0,Low
,2067,84.49101402,Nepal,,0,Low,,,,,2067,84.49101402,Nepal,,0,Low
0.033123028,3477,82.32562503,Nepal,,1,Low,,,,0.033123028,3477,82.32562503,Nepal,,1,Low
0,2446,85.40513965,Nepal,IUCN II,1,Moderate,,,,0,2446,85.40513965,Nepal,IUCN II,1,Moderate
,3752,97.13435249,China_fulgens,,0,Low,,,,,3752,97.13435249,China_fulgens,,0,Low
0.016869728,2126,103.0354754,china_styani,,1,Core,,,,0.016869728,2126,103.0354754,china_styani,,1,Core
0.003724395,3162,96.94570628,China_fulgens,,1,Low,,,,0.003724395,3162,96.94570628,China_fulgens,,1,Low
0.029966704,3729,99.84385105,China_fulgens,,1,Low,,,,0.029966704,3729,99.84385105,China_fulgens,,1,Low
0,2010,96.17683822,India,,1,Low,,,,0,2010,96.17683822,India,,1,Low
,2378,100.2758509,China_fulgens,,0,Low,,,,,2378,100.2758509,China_fulgens,,0,Low
,3467,94.73315573,China_fulgens,,0,Low,,,,,3467,94.73315573,China_fulgens,,0,Low
0.001447178,2918,98.78743227,China_fulgens,,1,Low,,,,0.001447178,2918,98.78743227,China_fulgens,,1,Low
0.001140251,3661,99.82283047,China_fulgens,,1,Moderate,,,,0.001140251,3661,99.82283047,China_fulgens,,1,Moderate
0,2188,98.20909689,Burma,,1,Core,,,,0,2188,98.20909689,Burma,,1,Core
,3734,101.3055897,China_fulgens,,0,Low,,,,,3734,101.3055897,China_fulgens,,0,Low
0,3834,94.3666431,China_fulgens,,1,Low,,,,0,3834,94.3666431,China_fulgens,,1,Low
0,3621,102.2895144,china_styani,,1,Core,,,,0,3621,102.2895144,china_styani,,1,Core
,2324,98.50931386,China_fulgens,,0,Low,,,,,2324,98.50931386,China_fulgens,,0,Low
0,2256,85.60591312,Nepal,,1,Core,,,,0,2256,85.60591312,Nepal,,1,Core
,2935,99.14397361,China_fulgens,,0,Moderate,,,,,2935,99.14397361,China_fulgens,,0,Moderate
0,3839,100.4855177,China_fulgens,,1,Low,,,,0,3839,100.4855177,China_fulgens,,1,Low
0,3425,102.3832985,china_styani,,1,Low,,,,0,3425,102.3832985,china_styani,,1,Low
0,1920,96.98208804,Burma,IUCN IV,1,Low,,,,0,1920,96.98208804,Burma,IUCN IV,1,Low
,3297,99.00707036,China_fulgens,,0,Low,,,,,3297,99.00707036,China_fulgens,,0,Low
0.114858706,2492,98.58396386,Burma,,1,Low,,,,0.114858706,2492,98.58396386,Burma,,1,Low
,2288,103.8307539,china_styani,,0,Low,,,,,2288,103.8307539,china_styani,,0,Low
,1774,88.09900753,India,,0,Core,,,,,1774,88.09900753,India,,0,Core
,4364,86.18155355,Nepal,IUCN VI,0,Moderate,,,,,4364,86.18155355,Nepal,IUCN VI,0,Moderate
0,1937,102.3673983,china_styani,,1,Low,,,,0,1937,102.3673983,china_styani,,1,Low
0,3563,92.08564093,India,,1,Moderate,,,,0,3563,92.08564093,India,,1,Moderate
,3232,100.9827352,China_fulgens,,0,Low,,,,,3232,100.9827352,China_fulgens,,0,Low
,2673,86.28773442,Nepal,IUCN VI,0,Moderate,,,,,2673,86.28773442,Nepal,IUCN VI,0,Moderate
,1987,86.16834832,Nepal,IUCN VI,0,LowModerate,,,,,1987,86.16834832,Nepal,IUCN VI,0,LowModerate
0.007425743,2299,98.32471007,China_fulgens,,1,Moderate,,,,0.007425743,2299,98.32471007,China_fulgens,,1,Moderate
0.001011122,4069,98.96475971,China_fulgens,,1,Low,,,,0.001011122,4069,98.96475971,China_fulgens,,1,Low
,4074,103.7251121,china_styani,,0,Low,,,,,4074,103.7251121,china_styani,,0,Low
0.021937843,1793,98.31608624,China_fulgens,,1,Low,,,,0.021937843,1793,98.31608624,China_fulgens,,1,Low
,3136,94.5404671,India,,0,Moderate,,,,,3136,94.5404671,India,,0,Moderate
0.006311993,2054,103.2923038,china_styani,,1,Core,,,,0.006311993,2054,103.2923038,china_styani,,1,Core
,1744,91.61860681,India,,0,Low,,,,,1744,91.61860681,India,,0,Low
0,2272,103.3227566,china_styani,,1,Moderate,,,,0,2272,103.3227566,china_styani,,1,Moderate
0,2905,94.43186078,India,,1,Low,,,,0,2905,94.43186078,India,,1,Low
0,2378,92.8035745,India,,1,Moderate,,,,0,2378,92.8035745,India,,1,Moderate
0.114503817,2278,95.10155483,China_fulgens,,1,Low,,,,0.114503817,2278,95.10155483,China_fulgens,,1,Low
,1993,85.68568352,Nepal,IUCN VI,0,Core,,,,,1993,85.68568352,Nepal,IUCN VI,0,Core
0.028268551,2958,103.206874,china_styani,,1,Moderate,,,,0.028268551,2958,103.206874,china_styani,,1,Moderate
0,1880,103.9625368,china_styani,,1,Low,,,,0,1880,103.9625368,china_styani,,1,Low
0,2750,103.2960767,china_styani,,1,Moderate,,,,0,2750,103.2960767,china_styani,,1,Moderate
,4237,85.51509344,Nepal,IUCN II,0,Core,,,,,4237,85.51509344,Nepal,IUCN II,0,Core
,3323,82.87296853,Nepal,IUCN II,0,Low,,,,,3323,82.87296853,Nepal,IUCN II,0,Low
,2745,99.9106857,China_fulgens,,0,Moderate,,,,,2745,99.9106857,China_fulgens,,0,Moderate
,3212,98.92756946,China_fulgens,,0,Moderate,,,,,3212,98.92756946,China_fulgens,,0,Moderate
0,3241,98.4225366,China_fulgens,,1,Moderate,,,,0,3241,98.4225366,China_fulgens,,1,Moderate
,2489,98.84187018,China_fulgens,,0,Moderate,,,,,2489,98.84187018,China_fulgens,,0,Moderate
,2058,100.3812232,China_fulgens,,0,Low,,,,,2058,100.3812232,China_fulgens,,0,Low
0.012939002,1661,98.79174418,,,1,Low,,,,0.012939002,1661,98.79174418,,,1,Low
,3033,94.27501494,China_fulgens,,0,Low,,,,,3033,94.27501494,China_fulgens,,0,Low
0,3597,99.21754563,China_fulgens,,1,Low,,,,0,3597,99.21754563,China_fulgens,,1,Low
,1728,98.71089581,,,0,Low,,,,,1728,98.71089581,,,0,Low
,2864,100.0820843,China_fulgens,,0,Low,,,,,2864,100.0820843,China_fulgens,,0,Low
,4770,93.56408822,China_fulgens,,0,Low,,,,,4770,93.56408822,China_fulgens,,0,Low
,2251,102.5789516,china_styani,,0,Moderate,,,,,2251,102.5789516,china_styani,,0,Moderate
0,2757,101.066548,China_fulgens,,1,Low,,,,0,2757,101.066548,China_fulgens,,1,Low
,2725,102.5245137,china_styani,,0,Low,,,,,2725,102.5245137,china_styani,,0,Low
0.002890173,2500,102.062061,china_styani,,1,Low,,,,0.002890173,2500,102.062061,china_styani,,1,Low
,1959,102.5484987,china_styani,,0,Low,,,,,1959,102.5484987,china_styani,,0,Low
,1786,87.44090175,Nepal,,0,Moderate,,,,,1786,87.44090175,Nepal,,0,Moderate
0,3130,100.1133456,China_fulgens,,1,Moderate,,,,0,3130,100.1133456,China_fulgens,,1,Moderate
0.001803427,2270,102.7527756,china_styani,,1,Core,,,,0.001803427,2270,102.7527756,china_styani,,1,Core
0.006345178,4128,92.81947468,India,,1,Low,,,,0.006345178,4128,92.81947468,India,,1,Low
0.015151515,2789,99.76327216,China_fulgens,,1,Low,,,,0.015151515,2789,99.76327216,China_fulgens,,1,Low
0,4085,99.89370754,China_fulgens,,1,Low,,,,0,4085,99.89370754,China_fulgens,,1,Low
0,3311,92.13441945,India,,1,Moderate,,,,0,3311,92.13441945,India,,1,Moderate
0.012589928,3695,99.94221657,China_fulgens,,1,Low,,,,0.012589928,3695,99.94221657,China_fulgens,,1,Low
,4134,94.47524941,China_fulgens,,0,Low,,,,,4134,94.47524941,China_fulgens,,0,Low
,3712,95.18860158,China_fulgens,,0,Moderate,,,,,3712,95.18860158,China_fulgens,,0,Moderate
,2326,98.5173987,China_fulgens,,0,Moderate,,,,,2326,98.5173987,China_fulgens,,0,Moderate
,3817,83.68953712,Nepal,IUCN VI,0,Low,,,,,3817,83.68953712,Nepal,IUCN VI,0,Low
0.077272727,1745,103.1292595,china_styani,,1,Moderate,,,,0.077272727,1745,103.1292595,china_styani,,1,Moderate
0,3393,96.11377649,China_fulgens,,1,Low,,,,0,3393,96.11377649,China_fulgens,,1,Low
0,1837,97.0591635,Burma,IUCN IV,1,Low,,,,0,1837,97.0591635,Burma,IUCN IV,1,Low
0.013435701,2508,102.8969552,china_styani,,1,Core,,,,0.013435701,2508,102.8969552,china_styani,,1,Core
,1835,102.2110915,china_styani,,0,Moderate,,,,,1835,102.2110915,china_styani,,0,Moderate
0.002590674,3372,88.01115229,India,IUCN II,1,Core,,,,0.002590674,3372,88.01115229,India,IUCN II,1,Core
0,2593,102.9352234,china_styani,,1,Core,,,,0,2593,102.9352234,china_styani,,1,Core
,4092,94.51270916,India,,0,Low,,,,,4092,94.51270916,India,,0,Low
,3061,93.64870952,China_fulgens,,0,Low,,,,,3061,93.64870952,China_fulgens,,0,Low
0,3868,100.3736774,China_fulgens,,1,Low,,,,0,3868,100.3736774,China_fulgens,,1,Low
0,2916,100.6663485,China_fulgens,,1,Low,,,,0,2916,100.6663485,China_fulgens,,1,Low
0.051587302,3603,90.14878334,Bhutan,,1,Moderate,,,,0.051587302,3603,90.14878334,Bhutan,,1,Moderate
,2012,98.60094202,China_fulgens,,0,Low,,,,,2012,98.60094202,China_fulgens,,0,Low
0.001877934,2503,81.91168134,Nepal,,1,Low,,,,0.001877934,2503,81.91168134,Nepal,,1,Low
0,2635,98.18053047,Burma,,1,Moderate,,,,0,2635,98.18053047,Burma,,1,Moderate
0.522114347,1623,103.3472807,china_styani,,1,Moderate,,,,0.522114347,1623,103.3472807,china_styani,,1,Moderate
0,3347,102.3188893,china_styani,,1,Moderate,,,,0,3347,102.3188893,china_styani,,1,Moderate
0,2184,98.34653913,China_fulgens,,1,Low,,,,0,2184,98.34653913,China_fulgens,,1,Low
0.001879699,3014,100.1464935,China_fulgens,,1,Moderate,,,,0.001879699,3014,100.1464935,China_fulgens,,1,Moderate
0.001689189,2951,85.07554777,Nepal,,1,Moderate,,,,0.001689189,2951,85.07554777,Nepal,,1,Moderate
,2874,82.59646708,Nepal,IUCN VI,0,Low,,,,,2874,82.59646708,Nepal,IUCN VI,0,Low
,4695,97.38336548,China_fulgens,,0,Low,,,,,4695,97.38336548,China_fulgens,,0,Low
0,3010,94.29253208,India,,1,Low,,,,0,3010,94.29253208,India,,1,Low
,1866,83.12494597,Nepal,,0,Low,,,,,1866,83.12494597,Nepal,,0,Low
,3297,88.39356511,India,IUCN II,0,Moderate,,,,,3297,88.39356511,India,IUCN II,0,Moderate
0.002375297,3795,97.24592324,China_fulgens,,1,Low,,,,0.002375297,3795,97.24592324,China_fulgens,,1,Low
0.141025641,3712,99.93305375,China_fulgens,,1,Low,,,,0.141025641,3712,99.93305375,China_fulgens,,1,Low
,1476,91.38953641,India,,0,Moderate,,,,,1476,91.38953641,India,,0,Moderate
0.027380952,3314,94.07639743,China_fulgens,,1,Low,,,,0.027380952,3314,94.07639743,China_fulgens,,1,Low
,3560,98.75778787,China_fulgens,,0,Moderate,,,,,3560,98.75778787,China_fulgens,,0,Moderate
9.02E-04,1724,103.9347788,china_styani,,1,Low,,,,0.000901713,1724,103.9347788,china_styani,,1,Low
0,2994,88.747142,Bhutan,,1,Core,,,,0,2994,88.747142,Bhutan,,1,Core
,3961,102.0068146,china_styani,,0,Low,,,,,3961,102.0068146,china_styani,,0,Low
,4123,98.62789148,China_fulgens,,0,Low,,,,,4123,98.62789148,China_fulgens,,0,Low
0.001164144,3545,99.34798101,China_fulgens,,1,Low,,,,0.001164144,3545,99.34798101,China_fulgens,,1,Low
,1646,98.2134088,China_fulgens,,0,Low,,,,,1646,98.2134088,China_fulgens,,0,Low
,4494,97.19903119,China_fulgens,,0,Low,,,,,4494,97.19903119,China_fulgens,,0,Low
0,2251,103.3373094,china_styani,,1,Core,,,,0,2251,103.3373094,china_styani,,1,Core
,1323,84.72520481,Nepal,,0,Low,,,,,1323,84.72520481,Nepal,,0,Low
0.00185701,2307,98.63732379,Burma,,1,Moderate,,,,0.00185701,2307,98.63732379,Burma,,1,Moderate
0.201277955,2762,95.08161223,China_fulgens,,1,Low,,,,0.201277955,2762,95.08161223,China_fulgens,,1,Low
0.33,798,91.10414165,India,,1,Moderate,,,,0.33,798,91.10414165,India,,1,Moderate
,4194,96.3126635,India,,0,Low,,,,,4194,96.3126635,India,,0,Low
0,4003,99.82229148,China_fulgens,,1,Moderate,,,,0,4003,99.82229148,China_fulgens,,1,Moderate
,2491,95.37509183,China_fulgens,,0,Low,,,,,2491,95.37509183,China_fulgens,,0,Low
0.019873532,1863,103.228164,china_styani,,1,Core,,,,0.019873532,1863,103.228164,china_styani,,1,Core
,3568,94.96734653,China_fulgens,,0,Moderate,,,,,3568,94.96734653,China_fulgens,,0,Moderate
,3083,94.68949761,India,,0,Low,,,,,3083,94.68949761,India,,0,Low
0,1706,103.005292,china_styani,,1,Moderate,,,,0,1706,103.005292,china_styani,,1,Moderate
0.004415011,2803,102.5867669,china_styani,,1,Moderate,,,,0.004415011,2803,102.5867669,china_styani,,1,Moderate
