iucn,percent_loss
IUCN IV,0.4512635
IUCN II,0
IUCN IV,0.4743833
IUCN VI,0
IUCN IV,0
IUCN II,0
IUCN II,0.25
IUCN VI,0
IUCN II,4.4642857
IUCN II,0
IUCN II,0
IUCN IV,0.1953125
IUCN VI,0
IUCN IV,0
IUCN IV,0
IUCN VI,0
IUCN IV,0
IUCN II,0.2803738
IUCN II,0
IUCN II,0
IUCN VI,0
IUCN IV,0
IUCN IV,0.4512635
IUCN II,0
IUCN VI,0
IUCN IV,0
IUCN VI,0
IUCN VI,0
IUCN II,1.0510511
IUCN IV,0
IUCN VI,0
IUCN II,34.0782123
IUCN IV,0
IUCN IV,0
IUCN IV,0
IUCN II,1.3245033
IUCN VI,3.1128405
IUCN IV,0
IUCN IV,0.1848429
IUCN IV,0
IUCN II,0
IUCN VI,1.0928962
IUCN VI,20.678685
IUCN IV,0
IUCN II,0
IUCN II,0
IUCN VI,1.1019284
IUCN VI,8.8323353
IUCN IV,0
IUCN IV,0
IUCN II,0
IUCN II,2.4096386
IUCN IV,5.9903382
IUCN VI,0
IUCN IV,0.0907
IUCN II,0
IUCN VI,0.3883495
IUCN II,0
IUCN II,0
IUCN VI,0
IUCN VI,0.3154574
IUCN II,0.0904
IUCN II,0.1029866
IUCN IV,0
IUCN VI,3.3810143
IUCN IV,0
IUCN VI,0.7594937
IUCN II,0
IUCN VI,0.6079027
IUCN II,0
IUCN IV,0.091
IUCN II,0.0903
IUCN VI,1.3853904
IUCN II,0
IUCN IV,0
IUCN VI,0.2328289
IUCN VI,0
IUCN II,0
IUCN II,5.4460094
IUCN II,0
IUCN VI,0.2932551
IUCN IV,0
IUCN IV,0
IUCN II,0.5494505
IUCN IV,0
IUCN II,3.2786885
IUCN VI,5.5292259
IUCN IV,0
IUCN II,0
IUCN VI,0.4149378
IUCN II,0.2621232
IUCN VI,0
IUCN II,1.8691589
IUCN VI,1.0416667
IUCN II,0
IUCN IV,0.255102
IUCN VI,0.1461988
IUCN II,0.2162162
IUCN IV,0.0902
IUCN II,0
IUCN VI,0
IUCN IV,0
IUCN IV,0
IUCN VI,0
IUCN II,0
IUCN II,0
IUCN VI,0
IUCN VI,0
IUCN II,0
IUCN IV,0
none,0
none,0
none,0
none,0.1076426
none,0
none,2.8268551
none,6.2378168
none,0.0984
none,0
none,0
none,0
none,0
none,1.0401189
none,0
none,3.3877039
none,0.1140251
none,8.8642659
none,1.8404908
none,0.2409639
none,3.264095
none,43.4625789
none,0
none,5.8611362
none,0.4508566
none,0.0935
none,0.1019368
none,0
none,0
none,6.9277108
none,2.0758123
none,0
none,0
none,1.8832392
none,0
none,0.1002004
