loss_mean,elevation,Country,IUCN RATING,over_20_pc_canopy_cover,Habitat_class,longitude
0,3151,China_fulgens,,1,Low,99
0,3803,Bhutan,IUCN II,1,Moderate,90
,1079,china_styani,,0,Low,103
0,2816,China_fulgens,,1,Low,99
0.00405954,2051,china_styani,,1,Moderate,103
,3140,China_fulgens,,0,Low,98
,3641,China_fulgens,,0,Low,97
,1685,India,,0,Low,92
0.107370337,3984,Bhutan,IUCN II,1,Core,91
,4003,China_fulgens,,0,Moderate,99
0,1640,Burma,IUCN II,1,Moderate,98
,3736,China_fulgens,,0,Low,96
,2217,India,,0,Low,96
,2711,China_fulgens,,0,Low,100
,2579,Nepal,,0,Moderate,85
,4309,China_fulgens,,0,Low,98
0,3336,China_fulgens,,1,Low,101
0,3131,China_fulgens,,1,Low,95
9.60E-04,2992,China_fulgens,,1,Low,99
,2016,Nepal,,0,Moderate,83
0,2227,China_fulgens,,1,Low,100
0,3111,China_fulgens,,1,Low,98
,2861,China_fulgens,,0,Low,100
,4664,China_fulgens,,0,Low,93
,2801,China_fulgens,,0,Low,100
0,3993,China_fulgens,,1,Low,94
,1215,china_styani,,0,Low,103
0,3381,China_fulgens,,1,Moderate,99
,1454,India,,0,Moderate,91
,3337,Nepal,,0,Moderate,82
0.078373016,1246,china_styani,,1,Low,104
0,3482,India,,1,Core,96
0.055004509,1511,Burma,IUCN IV,1,Low,98
0.042666667,2447,China_fulgens,,1,Low,100
0.002087683,2933,Burma,,1,Low,99
0,1610,Nepal,,1,Moderate,82
,3169,China_fulgens,,0,Low,100
0,3990,China_fulgens,,1,Low,96
0,2922,Nepal,,1,Moderate,82
0.002212389,3878,China_fulgens,,1,Low,101
0,2114,Bhutan,,1,Low,91
,1473,china_styani,,0,Moderate,102
,4133,china_styani,,0,Moderate,103
0,1978,India,,1,Low,93
0.020833333,2863,China_fulgens,,1,Moderate,101
,3944,china_styani,,0,Moderate,102
0,2978,Nepal,,1,Moderate,82
0,2991,India,,1,Low,96
,3293,China_fulgens,,0,Low,98
,3347,China_fulgens,,0,Moderate,99
0,3205,Nepal,,1,Moderate,83
,4588,China_fulgens,,0,Low,94
0,2514,Nepal,,1,Moderate,82
,2183,Bhutan,,0,Low,92
0.03219697,2824,china_styani,,1,Moderate,103
0.145907473,1385,India,,1,Moderate,91
,3893,China_fulgens,,0,Low,97
,3534,China_fulgens,,0,Low,100
,4060,Nepal,IUCN II,0,Low,83
0.008359457,1442,china_styani,,1,Low,104
0,3504,India,,1,Low,95
,4339,China_fulgens,,0,Low,97
0,2126,India,,1,Moderate,93
,4662,China_fulgens,,0,Low,87
,4321,China_fulgens,,0,Low,98
,4113,Nepal,,0,Core,82
0.001956947,3004,India,,1,Moderate,89
,1636,Nepal,,0,Moderate,86
0.060818713,1686,Bhutan,,1,Moderate,92
,2988,China_fulgens,,0,Low,100
,4152,India,,0,Low,96
,3010,China_fulgens,,0,Moderate,100
,3330,Burma,IUCN II,0,Low,98
,4688,China_fulgens,,0,Low,93
0,2456,India,,1,Core,93
0,3424,China_fulgens,,1,Low,96
0.005420054,2034,Nepal,,1,Core,86
0,2756,India,,1,Moderate,93
,2145,china_styani,,0,Moderate,103
0,2284,Bhutan,,1,Low,90
0.014611872,3799,China_fulgens,,1,Low,95
,4244,China_fulgens,,0,Low,98
,3709,China_fulgens,,0,Moderate,99
,4381,China_fulgens,,0,Low,96
0,2622,India,,1,Low,94
0.003606853,1363,Burma,IUCN IV,1,Low,98
,3032,China_fulgens,,0,Moderate,98
,4250,Nepal,IUCN II,0,Core,85
,2436,China_fulgens,,0,Low,99
0,2460,India,,1,Low,96
,4365,china_styani,,0,Moderate,103
,2668,China_fulgens,,0,Moderate,100
0.003652968,1376,India,,1,LowModerate,95
,2163,China_fulgens,,0,Low,101
0,3897,China_fulgens,,1,Low,94
,4496,China_fulgens,,0,Low,99
0.003239741,3224,china_styani,,1,Core,103
,3166,China_fulgens,,0,Low,100
0,4023,China_fulgens,,1,Low,101
0.008403361,3271,China_fulgens,,1,Low,94
0.220994475,900,India,,1,Moderate,91
0,3700,China_fulgens,,1,Low,101
,4129,China_fulgens,,0,Low,100
0.009661836,2699,China_fulgens,,1,Low,99
,4340,China_fulgens,,0,Low,99
,2717,India,,0,Low,96
,2471,China_fulgens,,0,Low,100
0,3204,Nepal,,1,Moderate,82
0,2310,china_styani,,1,Moderate,102
9.06E-04,2144,china_styani,,1,Moderate,103
0.014659686,2056,China_fulgens,,1,Moderate,98
0.004004004,2179,India,,1,Low,89
,2742,China_fulgens,,0,Low,97
,1845,Burma,,0,Moderate,98
0,3610,Nepal,,1,Low,83
0.006535948,3552,China_fulgens,,1,Moderate,100
,2478,Nepal,,0,Moderate,85
0,942,Burma,IUCN IV,1,Low,97
0.006289308,2842,Nepal,,1,Low,82
,3353,Nepal,,0,Low,83
0.003606853,2252,china_styani,,1,Moderate,103
0,2801,China_fulgens,,1,Core,86
,3842,China_fulgens,,0,Low,100
,4549,China_fulgens,,0,Low,95
,4323,China_fulgens,,0,Low,98
0.008474576,2563,china_styani,,1,Moderate,103
0,2296,china_styani,,1,Low,103
,3970,China_fulgens,,0,Low,98
,2260,Nepal,,0,Low,83
0,2129,Burma,IUCN IV,1,Low,97
,2932,China_fulgens,,0,Low,94
,3473,China_fulgens,,0,Low,101
,756,India,,0,Low,96
0,4288,China_fulgens,,1,Low,93
,4131,China_fulgens,,0,Core,99
0.010430248,3280,India,IUCN II,1,Moderate,88
,3221,China_fulgens,,0,Low,95
0.002061856,3002,India,,1,Low,96
0.046666667,2109,Bhutan,,1,Moderate,91
0.01461039,3170,Nepal,,1,Moderate,82
,5406,China_fulgens,,0,Low,97
,2477,China_fulgens,,0,Low,100
0.004102564,2435,Burma,IUCN IV,1,Core,97
0,2862,Burma,,1,Moderate,98
,4008,China_fulgens,,0,Moderate,100
0,2367,Burma,IUCN II,1,Moderate,98
0.151724138,1550,China_fulgens,,1,Moderate,98
,3895,China_fulgens,,0,Low,95
,3170,China_fulgens,,0,Moderate,99
0,2371,Nepal,,1,Moderate,83
0,1371,Nepal,,1,Moderate,87
,4918,China_fulgens,,0,Low,93
0.006684492,2641,China_fulgens,,1,Moderate,99
,4072,China_fulgens,,0,Moderate,98
0.001053741,1987,India,,1,Low,96
,3938,China_fulgens,,0,Low,95
,3661,China_fulgens,,0,Low,101
,1293,Nepal,IUCN VI,0,Low,87
0.001008065,3447,Nepal,,1,ModerateCore,82
0,2290,India,,1,Low,95
,4994,China_fulgens,,0,Low,94
0,2280,Burma,IUCN II,1,Core,98
,4160,China_fulgens,,0,Moderate,98
,1644,India,,0,Low,92
,2961,China_fulgens,,0,Low,96
,2395,India,,0,Low,92
0,3745,Nepal,,1,Low,83
0,3116,china_styani,,1,Moderate,102
0,3618,China_fulgens,,1,Moderate,99
,2864,China_fulgens,,0,Low,99
,4229,China_fulgens,,0,Moderate,100
0.024539877,2998,Bhutan,,1,Moderate,90
,3711,China_fulgens,,0,Low,99
9.59E-04,2297,china_styani,,1,Moderate,102
0,1245,china_styani,,1,Low,103
,2226,china_styani,,0,Moderate,103
,3425,China_fulgens,,0,Low,94
,2452,China_fulgens,,0,Low,95
0,3644,Bhutan,IUCN II,1,Core,91
0,2114,India,,1,Moderate,94
0.0802644,3330,china_styani,,1,Low,104
,4553,Bhutan,IUCN II,0,Moderate,90
0.004106776,2954,Burma,IUCN II,1,Moderate,99
,3556,China_fulgens,,0,Low,99
9.36E-04,2303,,,1,Low,99
,4232,China_fulgens,,0,Moderate,95
0.00292113,2005,china_styani,,1,Core,103
,783,India,,0,Moderate,91
0,3025,Bhutan,,1,Low,90
,3495,China_fulgens,,0,Low,95
,3710,China_fulgens,,0,Low,97
0.011363636,4014,Nepal,,1,Moderate,87
0,3272,Nepal,IUCN II,1,Core,87
0,3971,China_fulgens,,1,Moderate,94
0.002484472,3333,China_fulgens,,1,Moderate,99
,3647,China_fulgens,,0,Low,99
,2128,Nepal,,0,Low,82
,3991,Bhutan,IUCN IV,0,Moderate,92
0,2405,Bhutan,,1,Low,91
0,3633,China_fulgens,,1,Low,101
0,3772,India,,1,Low,89
0,3372,China_fulgens,,1,Moderate,99
,4454,China_fulgens,,0,Moderate,99
0,2921,Nepal,,1,Low,83
0,2767,Burma,,1,Moderate,98
0,4323,China_fulgens,,1,Low,99
0,3630,India,,1,Moderate,96
0.003673095,598,India,,1,Core,92
0,3626,India,,1,Low,96
0,1796,china_styani,,1,Moderate,103
,3544,China_fulgens,,0,Moderate,100
0.040650407,1272,china_styani,,1,Low,103
0,2195,Nepal,,1,Moderate,82
0,4034,china_styani,,1,Low,102
0,2373,China_fulgens,,1,Low,99
0,1619,Nepal,,1,Moderate,88
,4858,China_fulgens,,0,Low,91
0,2299,China_fulgens,,1,Moderate,98
0,3037,China_fulgens,,1,Moderate,95
0,2375,Burma,IUCN IV,1,Low,97
0.046218487,3971,China_fulgens,,1,Low,94
0,2049,China_fulgens,,1,Moderate,99
,3461,Burma,,0,Moderate,99
0,2706,China_fulgens,,1,Low,96
0.004338395,3350,India,,1,Moderate,94
,2646,China_fulgens,,0,Low,101
,3371,China_fulgens,,0,Low,98
0,3026,Nepal,,1,Low,82
0.174836601,1383,China_fulgens,,1,Low,99
,4234,Nepal,,0,Moderate,82
0.084326306,3613,China_fulgens,,1,Moderate,100
,3935,China_fulgens,,0,Low,96
0,1766,Burma,,1,Core,98
0.001919386,3121,China_fulgens,,1,Low,99
0,2085,china_styani,,1,Low,102
0,2469,Burma,,1,Core,98
,3762,China_fulgens,,0,Low,96
,2502,Nepal,,0,Low,82
0.020898642,1180,china_styani,,1,Low,104
,2024,china_styani,,0,Moderate,102
,2699,Nepal,,0,Low,83
0,3172,china_styani,,1,Moderate,102
,2227,China_fulgens,,0,Low,100
,2936,China_fulgens,,0,Low,98
0.020758123,1798,Burma,,1,Moderate,98
0.002574003,1310,India,,1,Core,88
0,2583,China_fulgens,,1,Moderate,98
,2210,Nepal,,0,Moderate,83
0,2259,china_styani,,1,Low,104
,4360,China_fulgens,,0,Low,98
,1820,,,0,Low,98
,3252,China_fulgens,,0,Low,101
,1771,Nepal,,0,Low,84
,3788,India,,0,Low,96
0.042016807,1425,china_styani,,1,Moderate,103
0.002183406,2640,India,,1,Low,94
0,2113,china_styani,,1,Moderate,102
0.285923754,3925,China_fulgens,,1,Low,100
0,2199,India,,1,Low,94
0,4079,China_fulgens,,1,Moderate,100
0.001237624,1945,china_styani,,1,Low,104
0.004878049,2049,china_styani,,1,Core,104
0,3387,China_fulgens,,1,Low,96
0,2247,Burma,,1,Moderate,98
,3811,Nepal,IUCN II,0,Core,86
0,2093,Burma,IUCN IV,1,Moderate,97
0,1101,china_styani,,1,Low,103
,4276,China_fulgens,,0,Low,96
0,3119,China_fulgens,,1,Low,99
0.017085427,1353,china_styani,,1,Low,103
0,2133,Nepal,,1,Core,88
,3819,China_fulgens,,0,Low,99
0,4246,China_fulgens,,1,Core,99
0,1970,Nepal,,1,Low,84
0.036082474,2765,China_fulgens,,1,Moderate,99
0.008204193,2135,china_styani,,1,Moderate,104
0,3925,China_fulgens,,1,Moderate,99
0.001203369,3861,China_fulgens,,1,Low,99
0,2756,Bhutan,IUCN IV,1,Moderate,91
,4251,China_fulgens,,0,Low,95
,2263,Nepal,,0,Moderate,88
0,1869,china_styani,,1,Low,103
0.037914692,652,India,,1,Moderate,91
0,2589,India,,1,Low,97
,2508,china_styani,,0,Low,104
,3453,china_styani,,0,Moderate,103
0.205776173,1450,Burma,,1,Core,98
0.003159558,3966,China_fulgens,,1,Moderate,100
0.002710027,1498,china_styani,,1,Low,104
,1831,China_fulgens,,0,Low,100
0.003095975,3580,Nepal,IUCN II,1,Moderate,87
0.010321101,3417,Bhutan,IUCN VI,1,Low,90
0.028703704,1705,Burma,,1,Low,99
,2954,China_fulgens,,0,Low,94
0,2381,Nepal,,1,Core,88
0,2924,Nepal,,1,Moderate,83
,3016,India,,0,Moderate,95
0.056934307,2521,China_fulgens,,1,Low,99
,4326,China_fulgens,,0,Low,97
0.003267974,1085,Bhutan,,1,Moderate,89
,3420,Nepal,,0,Moderate,82
,4476,China_fulgens,,0,Low,97
0.014644351,3190,China_fulgens,,1,Low,101
,4846,china_styani,,0,Moderate,102
0,3422,China_fulgens,,1,Moderate,94
0,2549,Nepal,,1,Moderate,84
,4565,China_fulgens,,0,Low,93
,1898,Nepal,,0,Moderate,87
0.284957627,1775,,,1,Low,98
0,2708,China_fulgens,,1,Low,100
0,2913,china_styani,,1,Core,103
9.08E-04,1637,Burma,IUCN IV,1,Moderate,97
,3018,Nepal,,0,Low,82
